global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
46,1,20,3,0,4,3.150491,2.123537,0.458256,0.130391,0.140321,0.698295
46,1,20,0,2,4,0.002268,0.001978,0.001143,0.79837,0.772826,0.8875
46,1,20,2,2,4,4e-06,7e-06,6e-06,0.954545,0.940909,0.977273
47,1,21,0,2,4,0.001607,0.001385,0.000771,0.778804,0.765217,0.87337
47,1,21,2,2,4,4e-06,5e-06,6e-06,0.986364,0.940909,0.954545
47,1,21,3,0,4,3.818627,2.374838,0.483632,0.132096,0.140221,0.683651
48,1,22,0,2,4,0.000805,0.001441,0.00085,0.796739,0.753261,0.849457
48,1,22,3,0,4,3.558775,2.61052,0.466548,0.132297,0.140421,0.720662
48,1,22,2,2,4,6e-06,5e-06,5e-06,0.95,0.986364,0.963636
49,1,23,2,2,4,4e-06,6e-06,6e-06,0.940909,0.909091,0.954545
49,1,23,0,2,4,0.000829,0.000957,0.00053,0.874457,0.792391,0.854348
49,1,23,3,0,4,3.567867,2.660332,0.674806,0.112939,0.125978,0.65677
50,1,24,2,2,4,5e-06,6e-06,6e-06,0.972727,0.968182,0.968182
50,1,24,3,0,4,3.434282,2.547406,0.453286,0.108726,0.124373,0.697994
50,1,24,0,2,4,0.00126,0.001047,0.000537,0.847826,0.789674,0.851631
51,2,0,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
51,2,0,2,1,4,51.453545,1.823425,9.911539,0.030785,0.147586,0.049497
51,2,0,0,1,4,55.781734,77.369545,36.260181,0.091,0.0811,0.079
51,2,0,1,2,4,35.856792,41.522327,5.862612,0.056041,0.058226,0.078149
52,2,1,2,1,4,3.560251,0.673203,2.827741,0.07495,0.285111,0.094064
52,2,1,0,1,4,22.390369,15.438503,22.705599,0.1166,0.1712,0.1415
52,2,1,1,2,4,9.967277,3.38986,1.781373,0.083933,0.071979,0.142802
52,2,1,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
53,2,2,2,1,4,1.50923,3.089717,2.093011,0.090141,0.184004,0.121227
53,2,2,1,2,4,65.210594,87.197563,2.666708,0.04563,0.056812,0.150643
53,2,2,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
53,2,2,0,1,4,82.961281,31.361084,34.131424,0.1204,0.1201,0.1614
54,2,3,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
54,2,3,1,2,4,64.261742,49.986408,0.942786,0.06401,0.061311,0.19036
54,2,3,2,1,4,11.452036,1.068168,1.181276,0.094567,0.213883,0.176962
54,2,3,0,1,4,35.020233,43.418499,23.178946,0.091,0.0978,0.2165
55,2,4,0,1,4,35.097889,113.146172,22.483521,0.1584,0.0862,0.1213
55,2,4,2,1,4,4.352754,1.834918,5.612811,0.085412,0.171328,0.095875
55,2,4,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
55,2,4,1,2,4,56.793797,136.320679,5.696395,0.029049,0.039846,0.123779
56,2,5,2,1,4,2.066161,1.380244,1.777927,0.084507,0.215191,0.088934
56,2,5,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
56,2,5,1,2,4,20.447557,171.012283,2.536286,0.040874,0.048072,0.106555
56,2,5,0,1,4,68.789642,112.035881,16.343206,0.0438,0.0663,0.1082
57,2,6,1,2,4,12.468716,44.328613,1.191397,0.055913,0.063239,0.121851
57,2,6,0,1,4,12.938176,34.974438,2.605691,0.1104,0.1023,0.1422
57,2,6,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
57,2,6,2,1,4,2.38549,1.757233,1.490765,0.056036,0.176459,0.099296
58,2,7,0,1,4,31.805456,82.518486,22.167919,0.0547,0.0424,0.1077
58,2,7,1,2,4,4.987337,39.189827,1.463968,0.053599,0.084833,0.114139
