global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
25,0,24,0,0,4,0.925438,0.931888,0.725442,0.192643,0.404496,0.299319
25,0,24,1,1,4,1.766491,11.752504,7.950122,0.586419,0.250865,0.27474
25,0,24,2,0,4,37.215317,136.852585,19.445242,0.147368,0.166362,0.357666
25,0,24,3,1,4,0.038307,0.12158,0.101855,0.7875,0.559211,0.597368
25,0,24,4,0,4,0.713149,0.610082,0.596974,0.333535,0.311178,0.434139
26,1,0,4,2,4,1e-06,4e-06,4e-06,1.0,1.0,1.0
26,1,0,2,2,4,4.420455,5.836734,1.359358,0.169475,0.206838,0.244933
26,1,0,3,0,4,3e-06,6e-06,2e-06,0.925,0.925,1.0
26,1,0,1,0,4,0.000154,0.002916,0.003319,0.957143,0.677551,0.661224
26,1,0,0,2,4,9.249158,2.677716,0.72817,0.135405,0.23484,0.303955
27,1,1,2,2,4,7.101819,15.683928,3.386401,0.364957,0.157631,0.209402
27,1,1,4,2,4,6e-06,8e-06,7e-06,1.0,1.0,1.0
27,1,1,1,0,4,0.000589,0.002611,0.002467,0.963265,0.630612,0.632653
27,1,1,0,2,4,45.377953,2.279167,2.783428,0.089266,0.167985,0.256121
27,1,1,3,0,4,5e-06,4e-06,4e-06,0.958333,0.958333,1.0
28,1,2,3,0,4,3e-06,3e-06,3e-06,0.983333,0.983333,0.991667
28,1,2,4,2,4,2e-06,5e-06,5e-06,1.0,1.0,1.0
28,1,2,2,2,4,1.468786,31.26358,11.445992,0.330525,0.186935,0.206349
28,1,2,1,0,4,0.000202,0.00872,0.007553,0.936735,0.57551,0.595918
28,1,2,0,2,4,3.110513,5.330369,1.451572,0.256309,0.212994,0.270057
29,1,3,3,0,4,3e-06,4e-06,3e-06,0.975,0.975,0.991667
29,1,3,4,2,4,1.6e-05,1.1e-05,9e-06,1.0,1.0,1.0
29,1,3,1,0,4,0.000214,0.025684,0.025496,0.967347,0.467347,0.461224
29,1,3,0,2,4,52.201847,1.953414,18.713047,0.07646,0.12919,0.20452
29,1,3,2,2,4,2.594748,41.242989,37.714512,0.501832,0.122955,0.142002
30,1,4,3,0,4,3e-06,3e-06,3e-06,0.991667,0.991667,0.991667
30,1,4,0,2,4,4.1707,1.411546,0.585446,0.149906,0.20904,0.320339
30,1,4,1,0,4,0.000121,0.001168,0.001261,0.955102,0.516326,0.518367
30,1,4,4,2,4,2e-06,2e-06,2e-06,1.0,1.0,1.0
30,1,4,2,2,4,0.620859,4.180437,0.985811,0.276435,0.192186,0.227839
31,1,5,4,2,4,2e-06,4e-06,3e-06,1.0,1.0,1.0
31,1,5,2,2,4,1.421235,2.298937,1.235234,0.419048,0.314164,0.412698
31,1,5,0,2,4,1.442666,1.25366,0.388844,0.216572,0.235782,0.482109
31,1,5,3,0,4,3e-06,4e-06,2e-06,0.966667,0.966667,0.991667
31,1,5,1,0,4,0.00047,0.000455,0.000454,0.92449,0.763265,0.763265
32,1,6,0,2,4,1.990493,1.6084,0.749464,0.248776,0.306026,0.457627
32,1,6,1,0,4,0.000121,0.000227,0.000226,0.953061,0.816326,0.830612
32,1,6,4,2,4,2e-06,2e-06,2e-06,1.0,1.0,1.0
32,1,6,3,0,4,2e-06,4e-06,3e-06,0.991667,0.991667,1.0
32,1,6,2,2,4,1.211975,3.054057,0.812217,0.427106,0.300855,0.399023
33,1,7,4,2,4,2e-06,4e-06,3e-06,1.0,1.0,1.0
33,1,7,0,2,4,4.050306,10.623542,0.652107,0.167232,0.232392,0.40113
33,1,7,1,0,4,0.000175,0.005581,0.006121,0.942857,0.783673,0.785714
33,1,7,2,2,4,3.493979,3.111064,1.389447,0.456288,0.253724,0.322222
33,1,7,3,0,4,3e-06,2e-06,2e-06,0.991667,0.991667,0.991667
34,1,8,1,0,4,0.000482,0.003709,0.002708,0.957143,0.806122,0.816326
34,1,8,0,2,4,2.715739,1.436217,0.503817,0.211864,0.237665,0.493032
34,1,8,4,2,4,3e-06,3e-06,3e-06,1.0,1.0,1.0
34,1,8,2,2,4,1.854624,2.957765,1.037235,0.472772,0.329548,0.417338
34,1,8,3,0,4,3e-06,4e-06,3e-06,0.925,0.925,1.0
35,1,9,2,2,4,5.417116,2.024402,0.626593,0.466178,0.339438,0.511722
35,1,9,4,2,4,3e-06,2e-06,2e-06,1.0,1.0,1.0
35,1,9,1,0,4,0.000191,0.0003,0.000269,0.946939,0.871429,0.891837
35,1,9,0,2,4,1.182967,1.299407,0.359807,0.224482,0.257439,0.576836
35,1,9,3,0,4,3e-06,4e-06,2e-06,0.933333,0.933333,1.0
36,1,10,4,2,4,2e-06,3e-06,3e-06,1.0,1.0,1.0
